종목,date,series,value
LG에너지솔루션,2026-06-11,5일 이동평균,198400.0
LG에너지솔루션,2026-06-11,20일 이동평균,196315.0
LG에너지솔루션,2026-06-12,종가,207000.0
LG에너지솔루션,2026-06-12,5일 이동평균,197600.0
LG에너지솔루션,2026-06-12,20일 이동평균,197210.0
LG에너지솔루션,2026-06-15,종가,216000.0
LG에너지솔루션,2026-06-15,5일 이동평균,202300.0
LG에너지솔루션,2026-06-15,20일 이동평균,198325.0
LG에너지솔루션,2026-06-16,종가,224000.0
LG에너지솔루션,2026-06-16,5일 이동평균,206400.0
LG에너지솔루션,2026-06-16,20일 이동평균,200555.0
LG에너지솔루션,2026-06-17,종가,226500.0
LG에너지솔루션,2026-06-17,5일 이동평균,213400.0
LG에너지솔루션,2026-06-17,20일 이동평균,202625.0
LG에너지솔루션,2026-06-18,종가,228500.0
LG에너지솔루션,2026-06-18,5일 이동평균,220400.0
LG에너지솔루션,2026-06-18,20일 이동평균,205010.0
LG에너지솔루션,2026-06-19,종가,222000.0
LG에너지솔루션,2026-06-19,5일 이동평균,223400.0
LG에너지솔루션,2026-06-19,20일 이동평균,207220.0
LG에너지솔루션,2026-06-22,종가,224000.0
LG에너지솔루션,2026-06-22,5일 이동평균,225000.0
LG에너지솔루션,2026-06-22,20일 이동평균,209030.0
LG에너지솔루션,2026-06-23,종가,202500.0
LG에너지솔루션,2026-06-23,5일 이동평균,220700.0
LG에너지솔루션,2026-06-23,20일 이동평균,209780.0
LG에너지솔루션,2026-06-24,종가,213500.0
LG에너지솔루션,2026-06-24,5일 이동평균,218100.0
LG에너지솔루션,2026-06-24,20일 이동평균,211095.0
LG에너지솔루션,2026-06-25,종가,235000.0
LG에너지솔루션,2026-06-25,5일 이동평균,219400.0
LG에너지솔루션,2026-06-25,20일 이동평균,213245.0
LG에너지솔루션,2026-06-26,종가,220500.0
LG에너지솔루션,2026-06-26,5일 이동평균,219100.0
LG에너지솔루션,2026-06-26,20일 이동평균,214725.0
LG에너지솔루션,2026-06-29,종가,210500.0
LG에너지솔루션,2026-06-29,5일 이동평균,216400.0
LG에너지솔루션,2026-06-29,20일 이동평균,215125.0
LG에너지솔루션,2026-06-30,종가,212000.0
LG에너지솔루션,2026-06-30,5일 이동평균,218300.0
LG에너지솔루션,2026-06-30,20일 이동평균,214275.0
LG에너지솔루션,2026-07-01,종가,204500.0
LG에너지솔루션,2026-07-01,5일 이동평균,216500.0
LG에너지솔루션,2026-07-01,20일 이동평균,212925.0
LG에너지솔루션,2026-07-02,종가,188700.0
LG에너지솔루션,2026-07-02,5일 이동평균,207240.0
LG에너지솔루션,2026-07-02,20일 이동평균,211360.0
LG에너지솔루션,2026-07-03,종가,208000.0
LG에너지솔루션,2026-07-03,5일 이동평균,204740.0
LG에너지솔루션,2026-07-03,20일 이동평균,211210.0
LG에너지솔루션,2026-07-06,종가,212500.0
LG에너지솔루션,2026-07-06,5일 이동평균,205140.0
LG에너지솔루션,2026-07-06,20일 이동평균,212210.0
LG에너지솔루션,2026-07-07,종가,199300.0
LG에너지솔루션,2026-07-07,5일 이동평균,202600.0
LG에너지솔루션,2026-07-07,20일 이동평균,212000.0
LG에너지솔루션,2026-07-08,종가,186900.0
LG에너지솔루션,2026-07-08,5일 이동평균,199080.0
LG에너지솔루션,2026-07-08,20일 이동평균,211770.0
LG에너지솔루션,2026-07-09,종가,185600.0
LG에너지솔루션,2026-07-09,5일 이동평균,198460.0
LG에너지솔루션,2026-07-09,20일 이동평균,211375.0
LG에너지솔루션,2026-07-10,종가,194300.0
LG에너지솔루션,2026-07-10,5일 이동평균,195720.0
LG에너지솔루션,2026-07-10,20일 이동평균,210740.0
LG에너지솔루션,2026-07-13,종가,176900.0
